,description,boot_space
0,"The Citroen Ami has a length of 2410 mm, a height of 1520 mm and a width of 1390 mm without the exterior mirrors. Motorization: electric. Because of its exterior size and short length, we classify the Citroen Ami in the category of city cars.Do you like the trend of larger cars? 👍 👎",Boot space: 63 liters.
1,"The Mobilize Duo has a length of 2430 mm, a height of 1460 mm and a width of 1300 mm without the exterior mirrors. Motorization: electric. Because of its exterior size and short length, we classify the Mobilize Duo in the category of city cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
2,"The Fiat Topolino has a length of 2530 mm, a height of 1520 mm and a width of 1390 mm without the exterior mirrors. Motorization: electric. Because of its exterior size and short length, we classify the Fiat Topolino in the category of city cars.Do you like the trend of larger cars? 👍 👎",Boot space: 63 liters.
3,"The Seat Mii electric has a length of 3556 mm, a height of 1481 mm, a width of 1645 mm without the exterior mirrors and a measurement of 1910 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size and short length, we classify the Seat Mii electric in the category of city cars. This model from the year 2020 is the same size compared to the dimensions of the 2011 Seat Mii.Do you like the trend of larger cars? 👍 👎",Boot space: 251 liters.
4,"The Fiat 500 has a length of 3632 mm, a height of 1527 mm, a width of 1683 mm without the exterior mirrors and a measurement of 1900 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size and short length, we classify the Fiat 500 in the category of city cars. This model from the year 2021  stands out for being 61 mm longer compared to the dimensions of the 2015 Fiat 500.Do you like the new generation size change? 👍 👎",Boot space: 185 liters.
5,"The Kia Picanto has a length of 3595 mm, a height of 1485 mm and a width of 1595 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size and short length, we classify the Kia Picanto in the category of city cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Kia Picanto.Do you like the trend of larger cars? 👍 👎",Boot space: 255 liters.
6,"The Volkswagen up! has a length of 3600 mm, a height of 1504 mm, a width of 1645 mm without the exterior mirrors and a measurement of 1910 millimeters with the mirrors unfolded. Motorization: petrol and  electric. The electric model is called e-up!. Because of its exterior size and short length, we classify the Volkswagen up! in the category of city cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Volkswagen up!.Do you like the trend of larger cars? 👍 👎",Boot space: 251 liters.
7,"The Renault Twingo has a length of 3615 mm, a height of 1541 mm and a width of 1646 mm without the exterior mirrors. Motorization: petrol and  electric. The electric model is called Twingo Z.E.. Because of its exterior size and short length, we classify the Renault Twingo in the category of city cars. This model from the year 2019 is 20 mm longer, has the same width and 13 mm lower compared to the dimensions of the 2015 Renault Twingo.Do you like the trend of larger cars? 👍 👎",Boot space: 188 liters.
8,"The Fiat 500 has a length of 3632 mm, a height of 1527 mm, a width of 1683 mm without the exterior mirrors and a measurement of 1900 millimeters with the mirrors unfolded. Motorization: electric. Because of its exterior size and short length, we classify the Fiat 500 in the category of city cars. This model from the year 2021  stands out for being 61 mm longer compared to the dimensions of the 2015 Fiat 500.Do you like the new generation size change? 👍 👎",Boot space: 185 liters.
9,"The Hyundai i10 has a length of 3670 mm, a height of 1480 mm and a width of 1680 mm without the exterior mirrors. Motorization: petrol. Because of its exterior size and short length, we classify the Hyundai i10 in the category of city cars. This model from the year 2023 is the same size compared to the dimensions of the 2020 Hyundai i10.Do you like the trend of larger cars? 👍 👎",Boot space: 252 liters.
10,"The Fiat Panda has a length of 3686 mm, a height of 1551 mm, a width of 1672 mm without the exterior mirrors and a measurement of 1882 millimeters with the mirrors unfolded. Motorization: petrol mild hybrid. The mild hybrid model is called Panda Hybrid. Because of its exterior size and short length, we classify the Fiat Panda in the category of city cars. This model from the year 2021 is 33 mm longer, 29 mm wider and has the same height compared to the dimensions of the 2016 Fiat Panda.Do you like the new generation size change? 👍 👎",Boot space: 225 liters.
